Name,EX,EW,Subtotal-(EX+EW),CR(PE),CR(PEW),Subtotal-(EX+EW+CR(PE)+CR(PEW)),CR,EN,VU,Subtotal(threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total
Antarctica,0,0,0,0,0,0,0,1,7,8,0,5,162,35,210
Bouvet Island,0,0,0,0,0,0,0,0,2,2,0,0,94,3,99
Fr. S. Antarctic Lands,1,0,1,1,0,2,5,11,16,32,0,8,983,56,1080
Heard Island and McDonald Islands,0,0,0,0,0,0,0,4,9,13,0,1,126,7,147
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,4,5,9,0,6,196,13,224
Anguilla,1,0,1,0,0,1,9,19,40,68,0,19,1158,66,1312
Antigua and Barbuda,3,0,3,0,0,3,12,19,42,73,0,24,1281,66,1447
Aruba,0,0,0,0,0,0,7,16,35,58,0,21,1115,53,1247
Bahamas,2,0,2,1,0,3,15,30,55,100,0,37,1725,115,1979
Barbados,1,0,1,3,0,4,13,19,40,72,0,26,1280,68,1447
Bermuda,5,0,5,1,1,7,31,15,30,76,0,21,950,69,1121
Bonaire, Sint Eustatius and Saba,1,0,1,0,0,1,11,16,48,75,0,24,1240,74,1414
Cayman Islands,2,0,2,0,0,2,12,24,35,71,0,30,1187,70,1360
Cuba,7,0,7,3,0,10,38,83,84,205,0,65,1818,135,2230
Curaçao,0,0,0,0,0,0,10,19,40,69,0,22,1134,77,1302
Dominica,1,0,1,1,0,2,11,22,42,75,0,30,1313,69,1488
Dominican Rep.,9,0,9,6,0,15,34,72,74,180,0,61,1484,78,1812
Grenada,0,0,0,0,0,0,11,18,43,72,0,24,1258,70,1424
Guadeloupe,7,0,7,2,0,9,13,25,47,85,0,33,1241,68,1434
Haiti,10,0,10,13,0,23,73,63,74,210,0,53,1424,75,1772
Jamaica,3,0,3,5,0,8,25,49,55,129,0,41,1338,76,1587
Martinique,6,0,6,3,0,9,11,20,33,64,0,25,1214,59,1368
Montserrat,0,0,0,1,0,1,9,17,41,67,0,23,1172,57,1319
Puerto Rico,5,0,5,6,0,11,19,31,43,93,0,38,1511,84,1731
